37 90 52 99 3
67 81 82 44 60
93 58 9 69 19
62 23 46 27 47
76 85 79 96 98
25 90 38 16 5
85 53 6 96 52
72 8 69 73 8
56 98 44 82 79
1 17 91 47 91
19 75 7 31 3
41 89 100 87 37
35 14 18 46 64
40 28 47 24 81
92 90 47 56 87
1 48 85 45 93
85 4 69 77 46
76 81 28 76 50
48 70 80 37 37
80 20 25 79 47
27 96 32 72 25
62 18 28 62 84
77 80 10 49 46
19 80 62 62 68
94 91 60 55 53
90 67 82 62 59
26 68 63 71 78
7 29 61 4 4
95 70 21 34 58
97 84 42 84 35
63 45 23 61 39
49 86 29 90 19
100 25 79 51 37
66 36 90 100 34
99 38 19 66 56
92 94 98 94 52
12 63 80 96 66
18 15 79 67 78
2 11 72 16 35
50 24 77 39 82
69 71 75 11 73
49 19 27 11 50
46 2 17 52 53
47 49 38 38 70
92 6 22 51 77
67 44 30 42 100
34 21 1 39 98
58 44 3 85 83
63 3 11 58 22
32 32 47 49 84
17 87 75 100 17
64 90 30 71 47
36 46 59 35 58
19 38 37 39 37
17 64 12 86 88
32 96 49 28 62
38 94 11 78 77
71 52 48 60 8
96 50 43 17 69
81 84 82 42 75
54 5 64 17 9
67 77 79 29 10
26 85 54 27 72
45 56 53 10 20
4 15 95 50 86
15 51 70 11 16
85 23 96 41 8
67 21 76 31 82
10 44 15 76 11
62 41 18 75 97
67 28 46 47 6
65 79 1 100 12
20 95 1 53 13
37 34 4 96 38
30 2 98 55 22
35 81 52 61 41
87 76 36 14 10
40 63 95 88 93
77 95 35 6 73
79 32 16 19 35
78 31 65 36 45
5 32 57 96 89
84 86 85 29 38
83 40 42 55 13
73 48 69 99 41
17 92 23 39 47
58 65 56 13 72
28 28 75 85 43
18 29 30 22 6
57 74 19 33 75
26 99 3 22 29
91 5 80 38 76
31 96 4 3 62
81 26 81 84 23
11 42 100 64 5
78 34 100 96 19
41 7 78 39 95
94 23 12 58 62
81 62 53 54 27
21 83 37 10 61
